date,date_start,date_end,date_middle,sample_size,party,total,male,female,age_18_34,age_35_54,age_55,class_abc1,class_c2de,class_f,region_dublin,region_leinster,region_munster,region_connacht_ulster,area_urban,area_rural,const_seats_3,const_seats_4,const_seats_5
2016-02-06,2016-02-01,2016-02-02,2016-02-01,1011,Green Party,0.03,0.02,0.03,0.03,0.04,0.01,0.04,0.02,0,0.06,0.01,0.01,0.01,0.04,0.01,0.03,0.03,0.02
2016-02-06,2016-02-01,2016-02-02,2016-02-01,1011,Independent Alliance,0.04,0.06,0.03,0.01,0.05,0.06,0.04,0.04,0.02,0.04,0.05,0.01,0.08,0.04,0.05,0.08,0.03,0.03
2016-02-06,2016-02-01,2016-02-02,2016-02-01,1011,Labour,0.08,0.06,0.11,0.06,0.06,0.12,0.08,0.09,0.05,0.11,0.08,0.08,0.05,0.09,0.07,0.06,0.08,0.1
2016-02-06,2016-02-01,2016-02-02,2016-02-01,1011,Other Independent Candidate,0.1,0.09,0.1,0.09,0.09,0.11,0.09,0.11,0.07,0.06,0.08,0.16,0.1,0.1,0.1,0.12,0.06,0.12
2016-02-06,2016-02-01,2016-02-02,2016-02-01,1011,RENUA,0.02,0.03,0.01,0.02,0.03,0.02,0.02,0.02,0.04,0.01,0.05,0.01,0.02,0.01,0.03,0.02,0.01,0.03
2016-02-06,2016-02-01,2016-02-02,2016-02-01,1011,Sinn Féin,0.17,0.17,0.18,0.28,0.16,0.12,0.13,0.24,0.02,0.19,0.18,0.18,0.12,0.21,0.12,0.11,0.2,0.19
2016-02-06,2016-02-01,2016-02-02,2016-02-01,1011,Social Democrats,0.04,0.05,0.02,0.04,0.06,0.01,0.05,0.03,0,0.07,0.04,0.01,0.01,0.06,0.01,0.05,0.03,0.04
2016-02-06,2016-02-01,2016-02-02,2016-02-01,1011,Socialist Party,0,0,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0.01,0,0.01,0,0
2016-02-06,2016-02-01,2016-02-02,2016-02-01,1011,Solidarity/PBP,0.03,0.02,0.03,0.03,0.03,0.02,0.03,0.03,0,0.04,0.01,0.03,0.02,0.04,0,0,0.05,0.02
2016-02-06,2016-02-01,2016-02-02,2016-02-01,1011,Workers Party,0.01,0.01,0.01,0.01,0.02,0.01,0,0.02,0,0.01,0.02,0.01,0,0.01,0,0.02,0.01,0.01
2016-02-20,2016-02-15,2016-02-16,2016-02-15,1026,Fianna Fáil,0.22,0.2,0.24,0.23,0.17,0.25,0.2,0.23,0.2,0.11,0.25,0.24,0.31,0.19,0.26,0.25,0.18,0.25
2016-02-20,2016-02-15,2016-02-16,2016-02-15,1026,Fine Gael,0.29,0.33,0.26,0.18,0.32,0.35,0.37,0.2,0.54,0.28,0.34,0.23,0.35,0.26,0.35,0.32,0.32,0.25
2016-02-20,2016-02-15,2016-02-16,2016-02-15,1026,Green Party,0.03,0.02,0.05,0.06,0.03,0.02,0.03,0.04,0,0.08,0.02,0.01,0.02,0.05,0.02,0.03,0.05,0.02
2016-02-20,2016-02-15,2016-02-16,2016-02-15,1026,Independent Alliance,0.05,0.04,0.05,0.04,0.07,0.03,0.06,0.04,0,0.06,0.03,0.03,0.06,0.06,0.02,0.03,0.04,0.06
2016-02-20,2016-02-15,2016-02-16,2016-02-15,1026,Labour,0.04,0.04,0.05,0.06,0.04,0.03,0.04,0.04,0.02,0.06,0.06,0.03,0.01,0.05,0.03,0.03,0.04,0.04
2016-02-20,2016-02-15,2016-02-16,2016-02-15,1026,Other Independent Candidate,0.1,0.08,0.12,0.06,0.1,0.12,0.09,0.11,0.11,0.09,0.06,0.17,0.06,0.08,0.13,0.12,0.09,0.1
2016-02-20,2016-02-15,2016-02-16,2016-02-15,1026,RENUA,0.03,0.02,0.04,0.01,0.03,0.04,0.02,0.03,0.03,0.02,0.05,0.04,0.01,0.03,0.02,0.04,0.02,0.02
2016-02-20,2016-02-15,2016-02-16,2016-02-15,1026,Sinn Féin,0.15,0.16,0.13,0.25,0.14,0.08,0.09,0.2,0.1,0.11,0.16,0.18,0.15,0.15,0.14,0.09,0.15,0.18
2016-02-20,2016-02-15,2016-02-16,2016-02-15,1026,Social Democrats,0.03,0.04,0.02,0.03,0.04,0.03,0.04,0.03,0,0.09,0.01,0.01,0,0.05,0.01,0.05,0.04,0.01
2016-02-20,2016-02-15,2016-02-16,2016-02-15,1026,Socialist Party,0,0.01,0,0.01,0,0,0,0.01,0,0.01,0,0.01,0,0,0.01,0,0,0
2016-02-20,2016-02-15,2016-02-16,2016-02-15,1026,Solidarity/PBP,0.05,0.06,0.03,0.05,0.06,0.03,0.05,0.05,0,0.08,0.03,0.04,0.02,0.07,0.01,0.04,0.05,0.05
2016-02-20,2016-02-15,2016-02-16,2016-02-15,1026,Workers Party,0.01,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0.01,0,0.01,0.01
2016-04-16,2016-04-03,2016-04-13,2016-04-08,926,Fianna Fáil,0.26,0.25,0.27,0.18,0.28,0.29,0.19,0.32,0.26,0.2,0.31,0.21,0.35,0.25,0.27,0.35,0.25,0.2
2016-04-16,2016-04-03,2016-04-13,2016-04-08,926,Fine Gael,0.23,0.23,0.23,0.22,0.22,0.25,0.33,0.14,0.32,0.24,0.23,0.19,0.29,0.22,0.25,0.21,0.3,0.16
2016-04-16,2016-04-03,2016-04-13,2016-04-08,926,Green Party,0.03,0.02,0.03,0.06,0.02,0.01,0.02,0.03,0,0.05,0.04,0.01,0,0.03,0.02,0.05,0.03,0.01
2016-04-16,2016-04-03,2016-04-13,2016-04-08,926,Independent Alliance,0.08,0.07,0.09,0.06,0.09,0.08,0.07,0.08,0.11,0.09,0.11,0.08,0.03,0.08,0.07,0.01,0.05,0.16
2016-04-16,2016-04-03,2016-04-13,2016-04-08,926,Labour,0.04,0.05,0.04,0.03,0.04,0.05,0.05,0.04,0.02,0.06,0.06,0.04,0,0.06,0.01,0.06,0.06,0.02
2016-04-16,2016-04-03,2016-04-13,2016-04-08,926,Other Independent Candidate,0.1,0.09,0.11,0.1,0.09,0.11,0.11,0.08,0.17,0.09,0.03,0.12,0.17,0.09,0.12,0.1,0.08,0.12
2016-04-16,2016-04-03,2016-04-13,2016-04-08,926,RENUA,0.01,0,0.01,0.01,0,0,0.01,0.01,0,0.01,0,0.02,0,0,0.01,0.01,0.01,0
2016-04-16,2016-04-03,2016-04-13,2016-04-08,926,Sinn Féin,0.17,0.2,0.14,0.25,0.15,0.14,0.15,0.2,0.1,0.16,0.18,0.2,0.13,0.17,0.18,0.16,0.14,0.22
2016-04-16,2016-04-03,2016-04-13,2016-04-08,926,Social Democrats,0.02,0.03,0.01,0.01,0.03,0.02,0.02,0.02,0,0.02,0.03,0.01,0.01,0.02,0.01,0.03,0.01,0.02
2016-04-16,2016-04-03,2016-04-13,2016-04-08,926,Socialist Party,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-16,2016-04-03,2016-04-13,2016-04-08,926,Solidarity/PBP,0.04,0.04,0.04,0.06,0.03,0.03,0.02,0.05,0.02,0.07,0.01,0.04,0.02,0.05,0.02,0.02,0.06,0.01
2016-04-16,2016-04-03,2016-04-13,2016-04-08,926,Workers Party,0.03,0.03,0.03,0.01,0.05,0.02,0.02,0.04,0,0.01,0,0.09,0,0.03,0.03,0,0.01,0.07
2016-05-11,2016-05-01,2016-05-11,2016-05-06,898,Fianna Fáil,0.27,0.25,0.29,0.28,0.21,0.34,0.29,0.26,0.29,0.17,0.34,0.32,0.23,0.26,0.3,0.3,0.28,0.25
2016-05-11,2016-05-01,2016-05-11,2016-05-06,898,Fine Gael,0.26,0.27,0.26,0.26,0.26,0.27,0.29,0.23,0.38,0.34,0.24,0.23,0.28,0.24,0.29,0.23,0.31,0.23
2016-05-11,2016-05-01,2016-05-11,2016-05-06,898,Green Party,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.06,0.05,0.02,0,0.04,0.03,0.07,0.03,0.02
