date,date_start,date_end,date_middle,sample_size,satisfaction_government,total,male,female,age_18_34,age_35_54,age_55,class_abc1,class_c2de,class_f,region_dublin,region_leinster,region_munster,region_connacht_ulster,area_urban,area_rural,const_seats_3,const_seats_4,const_seats_5,voting_vote,voting_prob_vote,voting_undecided,voting_not_vote,future_fianna_fail,future_fine_gael,future_labour,future_greens,future_sinn_fein,future_ind_oth,future_dont_know,past_fianna_fail,past_fine_gael,past_labour,past_greens,past_sinn_fein,past_ind_oth,past_dont_know
2016-04-16,2016-04-03,2016-04-13,2016-04-08,926,No opinion,0.07,0.06,0.07,0.08,0.08,0.04,0.07,0.07,0.03,0.05,0.07,0.07,0.08,0.07,0.06,0.06,0.06,0.07,0.05,0.08,0.13,0.12,0.05,0.04,NA,0.03,0.04,0.06,0.16,NA,NA,NA,NA,NA,NA,NA
2016-05-11,2016-05-01,2016-05-11,2016-05-06,898,Satisfied,0.24,0.29,0.19,0.23,0.22,0.27,0.29,0.21,0.13,0.31,0.15,0.26,0.23,0.23,0.24,0.2,0.24,0.25,0.25,0.2,0.3,0.09,0.2,0.55,0.28,0.28,0.11,0.12,0.13,NA,NA,NA,NA,NA,NA,NA
2016-05-11,2016-05-01,2016-05-11,2016-05-06,898,Dissatisfied,0.67,0.65,0.69,0.59,0.74,0.67,0.62,0.69,0.8,0.59,0.74,0.67,0.68,0.66,0.68,0.69,0.66,0.67,0.68,0.6,0.52,0.72,0.73,0.37,0.58,0.55,0.86,0.8,0.7,NA,NA,NA,NA,NA,NA,NA
2016-05-11,2016-05-01,2016-05-11,2016-05-06,898,No opinion,0.1,0.06,0.13,0.18,0.05,0.07,0.09,0.1,0.07,0.1,0.12,0.07,0.09,0.11,0.08,0.12,0.1,0.08,0.08,0.21,0.18,0.19,0.07,0.08,0.14,0.17,0.03,0.08,0.17,NA,NA,NA,NA,NA,NA,NA
2016-06-15,2016-06-03,2016-06-15,2016-06-09,913,Satisfied,0.26,0.28,0.25,0.25,0.26,0.29,0.33,0.2,0.35,0.34,0.21,0.25,0.24,0.27,0.25,0.25,0.29,0.24,0.28,0.22,0.23,0.12,0.26,0.62,0.22,NA,0.04,0.13,0.18,NA,NA,NA,NA,NA,NA,NA
2016-06-15,2016-06-03,2016-06-15,2016-06-09,913,Dissatisfied,0.63,0.63,0.63,0.61,0.66,0.62,0.58,0.7,0.46,0.59,0.65,0.65,0.67,0.63,0.65,0.58,0.62,0.68,0.64,0.64,0.6,0.59,0.64,0.3,0.7,NA,0.9,0.8,0.61,NA,NA,NA,NA,NA,NA,NA
2016-06-15,2016-06-03,2016-06-15,2016-06-09,913,No opinion,0.1,0.09,0.11,0.13,0.08,0.09,0.09,0.1,0.19,0.07,0.14,0.1,0.09,0.1,0.1,0.16,0.09,0.08,0.08,0.13,0.17,0.29,0.1,0.08,0.08,NA,0.06,0.07,0.21,NA,NA,NA,NA,NA,NA,NA
2016-07-13,2016-07-01,2016-07-13,2016-07-07,909,Satisfied,0.3,0.32,0.28,0.34,0.25,0.33,0.39,0.22,0.4,0.33,0.2,0.4,0.26,0.32,0.28,0.2,0.41,0.26,0.33,0.35,0.13,0.09,0.33,0.73,0.21,NA,0.13,0.07,0.19,NA,NA,NA,NA,NA,NA,NA
2016-07-13,2016-07-01,2016-07-13,2016-07-07,909,Dissatisfied,0.6,0.56,0.64,0.51,0.65,0.64,0.52,0.67,0.58,0.59,0.69,0.48,0.67,0.6,0.6,0.71,0.49,0.63,0.59,0.52,0.66,0.79,0.59,0.23,0.64,NA,0.81,0.84,0.61,NA,NA,NA,NA,NA,NA,NA
2016-07-13,2016-07-01,2016-07-13,2016-07-07,909,No opinion,0.1,0.11,0.08,0.16,0.1,0.03,0.1,0.11,0.02,0.08,0.12,0.12,0.07,0.08,0.12,0.08,0.1,0.11,0.09,0.13,0.21,0.12,0.07,0.04,0.15,NA,0.06,0.1,0.2,NA,NA,NA,NA,NA,NA,NA
2016-09-14,2016-09-04,2016-09-14,2016-09-09,911,Satisfied,0.36,0.39,0.33,0.37,0.37,0.32,0.39,0.33,0.35,0.31,0.34,0.38,0.41,0.34,0.38,0.32,0.39,0.34,0.38,0.45,0.27,0.07,0.34,0.76,0.5,NA,0.14,0.21,0.27,NA,NA,NA,NA,NA,NA,NA
2016-09-14,2016-09-04,2016-09-14,2016-09-09,911,Dissatisfied,0.54,0.51,0.56,0.47,0.54,0.61,0.5,0.57,0.5,0.61,0.54,0.53,0.42,0.57,0.48,0.58,0.48,0.57,0.54,0.48,0.46,0.61,0.55,0.22,0.37,NA,0.77,0.7,0.51,NA,NA,NA,NA,NA,NA,NA
2016-09-14,2016-09-04,2016-09-14,2016-09-09,911,No opinion,0.11,0.1,0.11,0.16,0.09,0.07,0.11,0.1,0.15,0.08,0.12,0.09,0.16,0.09,0.14,0.09,0.13,0.09,0.08,0.06,0.27,0.32,0.11,0.02,0.13,NA,0.09,0.09,0.21,NA,NA,NA,NA,NA,NA,NA
2016-11-09,2016-11-01,2016-11-09,2016-11-05,924,Satisfied,0.34,0.39,0.29,0.33,0.32,0.38,0.39,0.29,NA,0.33,0.29,0.38,0.36,0.33,0.36,0.39,0.35,0.3,0.35,0.35,0.18,0.21,0.34,0.78,0.43,0.12,0.16,0.12,0.16,NA,NA,NA,NA,NA,NA,NA
2016-11-09,2016-11-01,2016-11-09,2016-11-05,924,Dissatisfied,0.57,0.53,0.6,0.48,0.63,0.59,0.52,0.61,NA,0.52,0.63,0.54,0.59,0.55,0.59,0.57,0.52,0.62,0.58,0.53,0.57,0.56,0.61,0.18,0.55,0.44,0.78,0.84,0.6,NA,NA,NA,NA,NA,NA,NA
2016-11-09,2016-11-01,2016-11-09,2016-11-05,924,No opinion,0.09,0.07,0.11,0.2,0.05,0.04,0.1,0.1,NA,0.15,0.08,0.07,0.05,0.12,0.05,0.04,0.12,0.09,0.07,0.13,0.25,0.23,0.05,0.03,0.01,0.44,0.06,0.04,0.24,NA,NA,NA,NA,NA,NA,NA
2017-01-16,2017-01-03,2017-01-16,2017-01-09,921,Satisfied,0.31,0.32,0.3,0.27,0.28,0.38,0.33,0.3,0.23,0.28,0.3,0.28,0.41,0.32,0.29,0.24,0.33,0.33,0.33,0.31,0.21,0.16,0.31,0.66,0.39,NA,0.06,0.19,0.22,NA,NA,NA,NA,NA,NA,NA
2017-01-16,2017-01-03,2017-01-16,2017-01-09,921,Dissatisfied,0.61,0.6,0.62,0.6,0.64,0.59,0.58,0.62,0.69,0.63,0.59,0.67,0.52,0.6,0.62,0.68,0.6,0.59,0.61,0.62,0.57,0.66,0.67,0.24,0.59,NA,0.89,0.75,0.61,NA,NA,NA,NA,NA,NA,NA
